recall,prec,specificity,accuracy,AUC,run time(s),F1 score,depth,dataset
0.3,0.151,0.75,0.60002,0.19508,0.011092185974121094,0.7,1,iris
0.9,0.88656,0.9399999999999998,0.92666,0.8847799999999999,0.015152597427368164,0.9200000000000002,2,iris
0.9399999999999998,0.9418199999999999,0.97,0.96,0.9399599999999999,0.00874500274658203,0.954,4,iris
0.9,0.92364,0.96,0.9399799999999999,0.90922,0.008192348480224609,0.93,8,iris
0.4,0.18614000000000003,0.77,0.64668,0.25404,0.009360218048095703,0.705,1,iris
0.9400000000000001,0.90848,0.95,0.9466800000000001,0.92178,0.009724903106689452,0.9540000000000001,2,iris
0.9400000000000001,0.96182,0.9800000000000001,0.9666599999999999,0.94826,0.010203981399536132,0.96,4,iris
0.9199999999999999,0.8744399999999999,0.93,0.92666,0.89388,0.008234214782714844,0.925,8,iris
0.6,0.27704000000000006,0.65,0.63334,0.37904,0.008935070037841797,0.75,1,iris
0.86,0.9103,0.95,0.91998,0.8666,0.009158563613891602,0.9550000000000001,2,iris
0.9400000000000001,0.94848,0.97,0.96,0.93956,0.009839487075805665,0.9550000000000001,4,iris
0.9399999999999998,0.92364,0.96,0.95336,0.9304400000000002,0.008663320541381836,0.95,8,iris
0.4,0.1822,0.76,0.64002,0.25026000000000004,0.010364770889282227,0.7500000000000001,1,iris
0.8400000000000001,0.84824,0.93,0.9,0.84146,0.009819269180297852,0.9275,2,iris
0.9199999999999999,0.9436399999999999,0.97,0.9533400000000001,0.9303999999999999,0.008263301849365235,0.9445,4,iris
0.9400000000000001,0.9151399999999998,0.95,0.94666,0.9213799999999999,0.008757448196411133,0.9450000000000001,8,iris
0.4,0.19048,0.78,0.65334,0.25808,0.011567115783691406,0.75,1,iris
0.9200000000000002,0.8739399999999999,0.93,0.92666,0.89416,0.009313488006591797,0.9390000000000001,2,iris
0.9199999999999999,0.9399999999999998,0.97,0.9533200000000001,0.9294799999999999,0.009730291366577149,0.945,4,iris
0.9399999999999998,0.94666,0.97,0.96,0.94078,0.00867466926574707,0.9549999999999998,8,iris
0.2,0.08334,0.86,0.64002,0.11766000000000001,0.009910488128662109,0.75,1,iris
0.9199999999999999,0.92046,0.96,0.94668,0.9174800000000001,0.009605169296264648,0.9550000000000001,2,iris
0.9199999999999999,0.9205,0.95,0.9399999999999998,0.91246,0.009449052810668945,0.9349999999999999,4,iris
0.9199999999999999,0.94666,0.9700000000000001,0.9533200000000001,0.9290800000000001,0.009422063827514648,0.945,8,iris
0.4,0.17858000000000002,0.75,0.63334,0.2467,0.014194822311401368,0.7499999999999999,1,iris
0.9400000000000001,0.8593,0.9199999999999999,0.92666,0.89582,0.03469605445861816,0.9405000000000001,2,iris
0.9200000000000002,0.9091000000000001,0.95,0.9400000000000001,0.91114,0.009218931198120117,0.9395,4,iris
0.8799999999999999,0.88006,0.9399999999999998,0.9200200000000001,0.8763799999999999,0.008950328826904297,0.9099999999999999,8,iris
0.4,0.19048,0.78,0.65334,0.25808,0.01099095344543457,0.7500000000000001,1,iris
0.96,0.9084800000000002,0.95,0.9533200000000001,0.9323,0.009025335311889648,0.959,2,iris
0.9,0.8691000000000001,0.93,0.9199999999999999,0.8838199999999998,0.009345054626464844,0.915,4,iris
0.9,0.93566,0.96,0.94002,0.90804,0.00952458381652832,0.9299999999999999,8,iris
0.54,0.23478000000000004,0.5800000000000001,0.5667,0.32728,0.01060781478881836,0.665,1,iris
0.8800000000000001,0.8384,0.9200000000000002,0.9066799999999999,0.8576599999999999,0.010222673416137695,0.93,2,iris
0.9,0.92546,0.96,0.9399999999999998,0.9066199999999999,0.008985137939453125,0.93,4,iris
0.9200000000000002,0.92182,0.96,0.94666,0.91996,0.009127569198608399,0.9400000000000001,8,iris
0.4,0.1703,0.73,0.62002,0.23887999999999998,0.00964803695678711,0.705,1,iris
0.96,0.9166599999999999,0.95,0.9533400000000001,0.9349399999999999,0.009404754638671875,0.9605,2,iris
0.9400000000000001,0.9156600000000001,0.95,0.9466800000000001,0.9233399999999999,0.009571361541748046,0.954,4,iris
0.9399999999999998,0.9284800000000001,0.9600000000000002,0.9533200000000001,0.9300799999999999,0.010628986358642577,0.95,8,iris
0.91668,0.8563799999999999,0.9159200000000001,0.91602,0.8789199999999999,0.010095882415771484,0.9163043478260869,1,wine
0.8969799999999999,0.94644,0.97462,0.94902,0.9199400000000001,0.010496187210083007,0.9418244949494949,2,wine
0.95,0.8939,0.94094,0.94378,0.9178,0.011294937133789063,0.9534571256038648,4,wine
0.9333199999999999,0.9343999999999999,0.9662799999999999,0.95522,0.93104,0.011670970916748047,0.9498188405797101,8,wine
0.9288000000000001,0.8583400000000001,0.9163,0.9208999999999999,0.8854799999999999,0.011150979995727539,0.9225461133069828,1,wine
0.8969799999999999,0.9818200000000001,0.9916599999999999,0.96046,0.9365200000000001,0.01147150993347168,0.9575428194993411,2,wine
0.9666599999999999,0.91924,0.9579599999999999,0.96078,0.9419599999999999,0.011479806900024415,0.9623188405797102,4,wine
0.9333199999999999,0.88142,0.93298,0.933,0.9021800000000001,0.010655355453491212,0.9331521739130435,8,wine
0.8939600000000001,0.85832,0.9246399999999999,0.915,0.8691599999999999,0.010500907897949219,0.9092885375494071,1,wine
0.8318200000000001,0.9330999999999999,0.9663,0.92156,0.8651199999999999,0.01066741943359375,0.924733750548968,2,wine
0.9333400000000001,0.9205399999999999,0.9579599999999999,0.94966,0.9244600000000001,0.011647367477416992,0.953985507246377,4,wine
0.95,0.91318,0.94892,0.9490000000000001,0.92574,0.010395526885986328,0.9494565217391304,8,wine
0.88182,0.86424,0.925,0.9107999999999998,0.86204,0.009615898132324219,0.903409090909091,1,wine
0.84848,0.96,0.9833400000000001,0.9385399999999999,0.89958,0.011205911636352539,0.9487510979358806,2,wine
0.8666599999999999,0.92942,0.9478199999999999,0.92024,0.8776200000000001,0.010895633697509765,0.9141908212560388,4,wine
0.8484999999999999,0.90732,0.9492800000000001,0.9157,0.8659400000000002,0.01194777488708496,0.8988801054018445,8,wine
0.9,0.86446,0.92394,0.9157,0.8747,0.011134529113769531,0.9119565217391304,1,wine
0.81516,0.9030799999999999,0.95,0.9052199999999999,0.85524,0.010376071929931641,0.905411451471234,2,wine
0.9166599999999999,0.89772,0.9402000000000001,0.93204,0.89856,0.011318206787109375,0.9284420289855074,4,wine
0.93184,0.93184,0.9662799999999999,0.95488,0.93184,0.011163949966430664,0.9490612648221344,8,wine
0.8621399999999999,0.8562200000000001,0.9246399999999999,0.9042600000000001,0.85078,0.010921907424926759,0.893379446640316,1,wine
0.8303,0.88846,0.9402200000000001,0.90358,0.8473600000000001,0.011395549774169922,0.9208950922266139,2,wine
0.93184,0.88006,0.9318799999999999,0.9316800000000001,0.9026400000000001,0.011072111129760743,0.931851119894598,4,wine
0.9333400000000001,0.87706,0.93224,0.93234,0.90122,0.011905288696289063,0.9327898550724638,8,wine
0.84396,0.87676,0.9329599999999999,0.9039200000000001,0.84636,0.010835218429565429,0.8884552042160736,1,wine
0.88032,0.9469799999999999,0.975,0.94378,0.9111600000000001,0.01111011505126953,0.9338315217391304,2,wine
0.9333400000000001,0.85154,0.91558,0.92126,0.88704,0.01200728416442871,0.9244565217391305,4,wine
0.9303000000000001,0.8445599999999999,0.9159599999999999,0.9208999999999999,0.88416,0.011942100524902344,0.9231225296442688,8,wine
0.91516,0.86172,0.9242800000000001,0.9212400000000001,0.88412,0.010206079483032227,0.919713438735178,1,wine
0.8818400000000001,0.92668,0.9666599999999999,0.9385399999999999,0.9026200000000001,0.011147832870483399,0.9262296881862099,2,wine
0.9484999999999999,0.8893800000000001,0.94092,0.9434400000000001,0.9172,0.011896657943725585,0.9447134387351779,4,wine
0.9,0.8952199999999999,0.9406000000000001,0.9268000000000001,0.88728,0.012000083923339844,0.9202898550724636,8,wine
0.84698,0.8513,0.9235599999999999,0.89802,0.84352,0.01114206314086914,0.8852602108036891,1,wine
0.9166599999999999,0.9664400000000001,0.98332,0.9611000000000001,0.93904,0.01786203384399414,0.9527777777777777,2,wine
0.9000199999999999,0.9381,0.9663,0.9440999999999999,0.91056,0.011565971374511718,0.9331521739130435,4,wine
0.93184,0.89154,0.9413,0.9382400000000001,0.91038,0.011320209503173828,0.9365612648221344,8,wine
0.91668,0.8718999999999999,0.9246399999999999,0.9218999999999999,0.88292,0.01068563461303711,0.9206521739130435,1,wine
0.8333400000000001,0.94574,0.9749800000000001,0.9277599999999999,0.87508,0.01225438117980957,0.945486111111111,2,wine
