recall,prec,specificity,accuracy,AUC,run time(s),F1 score,no_trees,dataset
0.96,0.92546,0.96,0.9600199999999999,0.94092,0.043891525268554686,0.96,2,iris
0.9800000000000001,0.92546,0.96,0.96668,0.9514400000000001,0.14509897232055663,0.97,5,iris
0.96,0.9103,0.95,0.9533200000000001,0.93326,0.34146947860717775,0.9550000000000001,10,iris
0.9800000000000001,0.9091000000000001,0.95,0.9600200000000001,0.9428799999999999,0.6542435169219971,0.9650000000000001,20,iris
0.9800000000000001,0.9103,0.95,0.96,0.94278,0.04585533142089844,0.9649999999999999,2,iris
0.9400000000000001,0.9277799999999999,0.96,0.9533400000000001,0.9320600000000001,0.14297189712524414,0.95,5,iris
0.96,0.94848,0.97,0.96668,0.9512599999999999,0.3144360065460205,0.9650000000000001,10,iris
0.9199999999999999,0.96364,0.9800000000000001,0.9600199999999999,0.9377000000000001,0.6570857524871826,0.95,20,iris
0.9199999999999999,0.9156600000000001,0.95,0.9399999999999998,0.91164,0.04583573341369629,0.9349999999999999,2,iris
0.9800000000000001,0.9103,0.95,0.96,0.9427800000000002,0.14718074798583985,0.9650000000000001,5,iris
0.96,0.8936399999999999,0.9400000000000001,0.9466800000000001,0.9246000000000001,0.31719517707824707,0.95,10,iris
0.96,0.92666,0.96,0.96,0.9418200000000001,0.6577795028686524,0.9600000000000002,20,iris
1.0,0.76006,0.8400000000000001,0.8933399999999999,0.86294,0.0450859546661377,0.9199999999999999,2,iris
0.08,0.5,0.99,0.68668,0.13635999999999998,0.15069684982299805,0.535,5,iris
0.9400000000000001,0.9596,0.9800000000000001,0.9666799999999999,0.9483799999999999,0.32428369522094724,0.96,10,iris
0.9400000000000001,0.96182,0.9800000000000001,0.9666599999999999,0.94826,0.663945484161377,0.96,20,iris
0.8800000000000001,0.9777799999999999,0.99,0.95336,0.92634,0.04722261428833008,0.9349999999999999,2,iris
0.8800000000000001,1.0,1.0,0.96,0.93452,0.14724655151367189,0.9400000000000001,5,iris
0.9800000000000001,0.9103000000000001,0.95,0.96,0.94278,0.31824116706848143,0.9650000000000001,10,iris
